Tên,Giá,RAM,SSD,Rating,Đã bán
HP Gaming VICTUS 16 s0078AX R5 7640HS (8C5N7PA),22.690.000₫,RAM 16 GB,SSD 512 GB,5,156
MSI Gaming Cyborg 14 A13VE i7 13620H (090VN),27.190.000₫,RAM 16 GB,SSD 512 GB,5,76
Lenovo IdeaPad Slim 5 14IMH9 Ultra 5 125H (83DA001NVN),22.690.000₫,RAM 16 GB,SSD 512 GB,5,161
Lenovo Yoga Pro 7 14IMH9 Ultra 7 155H (83E2005DVN),46.990.000₫,RAM 32 GB,SSD 1 TB,5,3
Lenovo V14 Core 5 120U (83HD0001VN),18.290.000₫,RAM 16 GB,SSD 512 GB,5,39
Dell Inspiron 15 3530 i7 1355U (N5I7301W1),21.490.000₫,RAM 16 GB,SSD 512 GB,5,922
Dell Inspiron 16 5640 Core 7 150U (KHPF5),27.990.000₫,RAM 16 GB,SSD 1 TB,5,271
Dell Inspiron 14 5440 Core 7 150U (N4I7204W1),24.990.000₫,RAM 16 GB,SSD 512 GB,5,567
Asus TUF Gaming A15 FA507NVR R7 7435HS (LP007W),26.990.000₫,RAM 16 GB,SSD 512 GB,5,182
Lenovo IdeaPad Slim 5 OLED 14IRH10 i5 13420H (83HR005YVN),21.190.000₫,RAM 16 GB,SSD 1 TB,N/A,N/A
HP Envy x360 14 fc0094TU Ultra 5 125U (A19C4PA),26.190.000₫,RAM 16 GB,SSD 512 GB,5,428
Acer Aspire 16 AI A16 71M 71U7 Ultra 7 155H (NX.J4YSV.002),21.690.000₫,RAM 16 GB,SSD 512 GB,5,31
Acer Aspire 5 A514 54 5127 i5 1135G7 (NX.A28SV.007),13.590.000₫,RAM 8 GB,SSD 512 GB,4.9,"1,3k"
MSI Prestige 14 AI Studio C1UDXG Ultra 7 155H (058VN),27.690.000₫,RAM 16 GB,SSD 1 TB,5,26
Lenovo V15 G5 IRL Core 5 120U (83HF0000VN),17.590.000₫,RAM 16 GB,SSD 512 GB,5,33
MSI Gaming Katana A15 AI B8VF R7 8845HS (419VN),28.690.000₫,RAM 16 GB,SSD 512 GB,5,34
Asus TUF Gaming A15 FA506NF R5 7535HS (HN012W),17.690.000₫,RAM 16 GB,SSD 512 GB,4.9,"3,2k"
Asus Vivobook S 15 S5507QA X1E 78 100 (MA090WS),28.990.000₫,RAM 32 GB,SSD 1 TB,5,15
HP Probook 450 G10 i7 1355U (873D3PA),22.190.000₫,RAM 16 GB,SSD 512 GB,5,298
Dell Inspiron 15 3530 i5 1334U (P16WD2),18.490.000₫,RAM 16 GB,SSD 512 GB,5,228
Asus Vivobook 15 X1504VA i7 1355U (NJ023W),20.490.000₫,RAM 16 GB,SSD 512 GB,4.9,"1,7k"
Acer Gaming Nitro V ANV15 51 58AN i5 13420H (NH.QNASV.001),17.690.000₫,RAM 8 GB,SSD 512 GB,5,255
Lenovo Yoga Slim 7 14IMH9 Ultra 7 155H (83CV001VVN),31.190.000₫,RAM 32 GB,SSD 1 TB,5,116
Acer Gaming Nitro V ANV15 51 57B2 i5 13420H (NH.QN8SV.001),24.690.000₫,RAM 8 GB,SSD 512 GB,5,227
Lenovo ThinkBook 16 G7 Ultra 5 125U (21MS007GVN),22.190.000₫,RAM 16 GB,SSD 512 GB,5,84
MSI Prestige 13 AI Evo A1MG Ultra 7 155H (062VN),33.690.000₫,RAM 32 GB,SSD 1 TB,5,64
MSI Gaming Katana A15 AI B8VG R7 8845HS (465VN),32.690.000₫,RAM 16 GB,SSD 1 TB,5,18
Lenovo Gaming Legion Pro 5 16IRX9 i9 14900HX (83DF0046VN),52.690.000₫,RAM 32 GB,SSD 1 TB,5,37
Dell Vostro 15 3520 i5 1235U (V3520-i5U165W11GRU),16.490.000₫,RAM 16 GB,SSD 512 GB,4.9,"1,1k"
Dell Vostro 15 3520 i5 1235U (i5U165W11GRU),16.490.000₫,RAM 16 GB,SSD 512 GB,5,"1,5k"
Acer Swift Go 14 AI SFG14 73 53X7 Ultra 5 125H (NX.KSLSV.001),23.290.000₫,RAM 16 GB,SSD 512 GB,5,98
Asus Vivobook S 14 OLED S5406MA Ultra 5 125H (PP136W),24.990.000₫,RAM 16 GB,SSD 1 TB,4.9,568
HP Envy X360 14 fa0048AU R7 8840HS (A19BQPA),28.790.000₫,RAM 16 GB,SSD 512 GB,5,79
Asus Vivobook 16 M1607KA R7 AI 350 (MB091WS),20.990.000₫,RAM 16 GB,SSD 512 GB,5,10
Lenovo ThinkBook 14 Ultra 7 155U (21MR0072VN),26.390.000₫,RAM 16 GB,SSD 512 GB,5,33
Dell Vostro 15 3520 i5 1235U (V5I5610W1),14.490.000₫,RAM 8 GB,SSD 512 GB,4.9,986
HP Pavilion 15 eg3095TU i5 1335U (8C5L6PA),16.190.000₫,RAM 8 GB,SSD 512 GB,5,432
Dell Inspiron 15 3520 i5 1235U (71027003),14.490.000₫,RAM 8 GB,SSD 512 GB,4.9,"1,8k"
Dell Inspiron 15 3530 i7 1355U (P16WD),22.490.000₫,RAM 16 GB,SSD 1 TB,4.9,"1,4k"
Dell Inspiron 15 3520 i5 1235U (71043883),16.490.000₫,RAM 16 GB,SSD 512 GB,5,"1,4k"
Asus Vivobook S 14 S5406SA Ultra 5 226V (PP060WS),25.990.000₫,RAM 16 GB,SSD 512 GB,5,28
Asus Zenbook 14 UX3405CA Ultra 9 285H (PZ204WS),36.990.000₫,RAM 32 GB,SSD 1 TB,N/A,N/A
Lenovo LOQ 15IRX9 i5 13450HX (83DV00PSVN),23.690.000₫,RAM 24 GB,SSD 512 GB,N/A,N/A
HP Probook 450 G10 i7 1355U (9H8H1PT),24.990.000₫,RAM 16 GB,SSD 512 GB,5,80
Lenovo Gaming LOQ 15ARP9 R7 7435HS (83JC003YVN),29.190.000₫,RAM 24 GB,SSD 512 GB,5,20
Asus Vivobook 15 X1504VA i5 1334U (BQ2225WS),16.490.000₫,RAM 16 GB,SSD 512 GB,N/A,N/A
HP Envy x360 14 fc0089TU Ultra 7 155U (A19BZPA),32.190.000₫,RAM 16 GB,SSD 512 GB,5,181
Acer Swift Go 14 AI SFG14 73 71ZX Ultra 7 155H (NX.KSLSV.002),26.290.000₫,RAM 16 GB,SSD 512 GB,5,63
Lenovo ThinkPad E14 Ultra 7 155H (21M70051VN),33.490.000₫,RAM 32 GB,SSD 1 TB,5,15
MSI Gaming Katana A15 AI B8VE R7 8845HS (402VN),26.690.000₫,RAM 16 GB,SSD 512 GB,N/A,2
MSI Gaming Cyborg 15 AI A1VEK Ultra 7 155H (053VN),30.840.000₫,RAM 16 GB,SSD 512 GB,5,17
HP Probook 450 G10 i5 1335U (9H1N5PT),20.190.000₫,RAM 16 GB,SSD 512 GB,5,176
HP Probook 460 G11 Ultra 5 125U (A74BTPT),21.190.000₫,RAM 16 GB,SSD 512 GB,5,42
Lenovo IdeaPad Slim 5 14Q8X9 X1P 42 100 (83HL000KVN),22.490.000₫,RAM 16 GB,SSD 512 GB,N/A,N/A
Asus TUF Gaming Dash F15 FX517ZE i5 12450H (HN045W),21.990.000₫,RAM 8 GB,SSD 512 GB,4.9,413
Asus Vivobook 15 X1504VA i5 1335U (NJ025W),14.490.000₫,RAM 8 GB,SSD 512 GB,4.9,"2,8k"
Asus TUF Gaming A15 FA506NC R5 7535HS (HN017W),19.190.000₫,RAM 16 GB,SSD 512 GB,5,"1,2k"
Dell Inspiron 15 3530 i7 1355U (71026454),21.490.000₫,RAM 16 GB,SSD 512 GB,4.9,1k
Dell G15 5530 i9 13900HX (i9HX161W11GR4060),40.990.000₫,RAM 16 GB,SSD 1 TB,5,81
Asus TUF Gaming F15 FX507VU i7 13620H (LP167W),27.690.000₫,RAM 16 GB,SSD 512 GB,4.9,928
HP VICTUS 16 r0127TX i7 13700H (8C5N2PA),32.690.000₫,RAM 16 GB,SSD 512 GB,5,41
Dell Latitude 3440 i7 1355U (71038103),23.990.000₫,RAM 16 GB,SSD 512 GB,5,105
Acer Swift AI SF14 51 53P9 Ultra 5 226V (NX.J2KSV.002),34.990.000₫,RAM 16 GB,SSD 1 TB,N/A,2
MSI Creator Z17 HX Studio A14VGT i7 14700HX (272VN),71.990.000₫,RAM 32 GB,SSD 2 TB,N/A,1
Lenovo Gaming Legion Slim 5 16AHP9 R7 8845HS (83DH003BVN),40.690.000₫,RAM 32 GB,SSD 1 TB,5,11
Dell Latitude 3450 i5 1335U (L3450-1335U-16512W),18.890.000₫,RAM 16 GB,SSD 512 GB,5,19
Dell Inspiron 7440 Core 7 150U (N7440-C7U161W11IBU),30.990.000₫,RAM 16 GB,SSD 1 TB,5,134
Dell Inspiron 15 3530 i5 1335U (N3530-i5U085W11BLU),16.990.000₫,RAM 8 GB,SSD 512 GB,4.9,1k
Asus Zenbook 14 OLED UX3405MA Ultra 9 185H (PP475W),33.990.000₫,RAM 32 GB,SSD 1 TB,4.9,221
HP Envy X360 14 fc0083TU Ultra 7 155U (A19BSPA),35.190.000₫,RAM 32 GB,SSD 1 TB,4.9,84
Asus Vivobook 14X OLED K3405VC i5 13500H (KM006W),24.490.000₫,RAM 16 GB,SSD 512 GB,4.9,902
MSI Creator M16 HX C14VFG i7 14700HX (040VN),45.990.000₫,RAM 32 GB,SSD 1 TB,5,21
Lenovo Gaming Legion Pro 7 16IRX9H i9 14900HX (83DE001MVN),102.690.000₫,RAM 32 GB,SSD 1 TB,5,3
Lenovo Thinkpad X13 Ultra 5 125U (21LU004NVN),33.990.000₫,RAM 16 GB,SSD 512 GB,5,6
Dell Inspiron 16 5640 Core 7 150U (N6I7512W1),32.490.000₫,RAM 16 GB,SSD 1 TB,5,28
Acer Nitro V 16 ProPanel ANV16 41 R6ZY R5 8645HS (NH.QP2SV.002),23.990.000₫,RAM 16 GB,SSD 512 GB,5,7
Asus Zenbook S 14 UX5406SA Ultra 7 258V (PV140WS),41.990.000₫,RAM 32 GB,SSD 1 TB,5,30
Asus ROG Strix G16 G614JU i7 13650HX (N3509W),34.990.000₫,RAM 32 GB,SSD 1 TB,5,56
Dell Inspiron 7440 Core 5 120U (N4I5006W1),28.490.000₫,RAM 16 GB,SSD 1 TB,5,42
MSI Cyborg 15 A13VFK i7 13620H (876VN),27.990.000₫,RAM 16 GB,SSD 512 GB,5,6
Lenovo Gaming LOQ Essential 15IAX9E i5 12450HX (83LK0036VN),20.190.000₫,RAM 12 GB,SSD 512 GB,5,13
Acer Swift AI SF14 51 75VP Ultra 7 258V (NX.J2KSV.001),39.990.000₫,RAM 32 GB,SSD 1 TB,N/A,1
Asus Vivobook 14 X1404VA i5 1334U (NK771WS),15.990.000₫,RAM 16 GB,SSD 512 GB,N/A,1
Asus TUF Gaming A15 FA507NV R7 7735HS (LP031W),26.890.000₫,RAM 16 GB,SSD 512 GB,4.9,740
Asus TUF Gaming A15 FA507NU R5 7535HS (LP105W),23.690.000₫,RAM 16 GB,SSD 512 GB,4.9,1k
MSI Titan 18 HX AI A2XWIG Ultra 9 285HX (090VN),149.990.000₫,RAM 64 GB,SSD 6 TB,N/A,N/A
Asus Vivobook S 14 S5406SA Ultra 7 258V (PP059WS),31.890.000₫,RAM 32 GB,SSD 1 TB,5,9
HP OMEN 16 xf0071AX R7 7840HS (8W946PA),51.990.000₫,RAM 32 GB,SSD 1 TB,N/A,1
Dell XPS 13 9340 Ultra 7 155H (HXRGT),53.990.000₫,RAM 16 GB,SSD 1 TB,5,47
Asus TUF Gaming A14 FA401WV R9 AI HX 370 (RG062WS),40.990.000₫,RAM 16 GB,SSD 1 TB,5,4
MSI Raider 18 HX AI A2XWIG Ultra 9 285HX (033VN),129.990.000₫,RAM 64 GB,SSD 4 TB,N/A,N/A
Asus Zenbook 14 UX3405CA Ultra 5 225H (PZ187WS),29.990.000₫,RAM 16 GB,SSD 512 GB,5,10
MSI Stealth 18 HX AI A2XWIG Ultra 9 275HX (017VN),99.990.000₫,RAM 32 GB,SSD 2 TB,N/A,N/A
Asus Zenbook 14 UX3405CA Ultra 7 255H (PZ368WS),32.490.000₫,RAM 16 GB,SSD 512 GB,5,6
MSI Prestige 13 AI+ A2VMG Ultra 7 258V (040VN),38.990.000₫,RAM 32 GB,SSD 1 TB,N/A,N/A
MSI Vector 16 HX AI A2XWIG Ultra 9 275HX (062VN),74.990.000₫,RAM 16 GB,SSD 1 TB,N/A,N/A
MSI Prestige 16 AI+ B2VMG Ultra 9 288V (016VN),45.990.000₫,RAM 32 GB,SSD 1 TB,N/A,N/A
Dell XPS 13 9340 Ultra 7 155H (HXRGT2),54.990.000₫,RAM 16 GB,SSD 1 TB,5,9
MSI Gaming Katana A15 AI B8VG R9 8945HS (466VN),40.990.000₫,RAM 16 GB,SSD 1 TB,N/A,1
MacBook Pro 14 inch M4 16GB/512GB,39.690.000₫,RAM 16 GB,SSD 512 GB,5,610
MacBook Pro 14 inch M4 Pro 24GB/512GB,49.090.000₫,RAM 24 GB,SSD 512 GB,5,351
MacBook Pro 14 inch Nano M4 16GB/512GB,41.990.000₫,RAM 16 GB,SSD 512 GB,5,141
MacBook Pro 14 inch M4 Pro 24GB/1TB,54.990.000₫,RAM 24 GB,SSD 1 TB,5,117
MacBook Air 15 inch M4 16GB/256GB,31.990.000₫,RAM 16 GB,SSD 256 GB,5,6
MacBook Pro 14 inch Nano M4 Pro 24GB/512GB,52.790.000₫,RAM 24 GB,SSD 512 GB,5,74
MacBook Pro 14 inch M4,44.690.000₫,RAM 16 GB,SSD 1 TB,5,11
Dell G15 5530 i7 13650HX (i7HX161W11GR4060),36.990.000₫,RAM 16 GB,SSD 1 TB,5,48
MacBook Air 13 inch M2 24GB/512GB,31.490.000₫,RAM 24 GB,SSD 512 GB,5,25
HP Envy X360 14 fc0153TU Ultra 7 155U (AY8V4PA),33.190.000₫,RAM 32 GB,SSD 512 GB,5,7
MacBook Pro 16 inch M4 Pro 48GB/1TB,79.490.000₫,RAM 48 GB,SSD 1 TB,5,37
Macbook Air 13 inch M2 16GB/512GB Sạc 70W,27.590.000₫,RAM 16 GB,SSD 512 GB,5,4
MacBook Pro 16 inch M4 Pro 24GB/1TB,69.490.000₫,RAM 24 GB,SSD 1 TB,5,28
Dell Inspiron 14 5430 i5 1340P (N5430-i5P165W11SL2050),27.490.000₫,RAM 16 GB,SSD 512 GB,5,72
Samsung Galaxy Chromebook Go XE340XDA N4500,8.990.000₫,RAM 4 GB,eMMC 32 GB,5,36
Samsung Galaxy Chromebook Go XE310XDA N4500,7.990.000₫,RAM 4 GB,eMMC 32 GB,5,34
HP Elitebook 635 Aero G11 R5 8640U (A8WS6PT),24.590.000₫,RAM 16 GB,SSD 512 GB,N/A,2
Dell Latitude 5450 Ultra 5 125U (L5450-125U-16512W),24.990.000₫,RAM 16 GB,SSD 512 GB,N/A,2
HP OMEN 16 xf0070AX R9 7940HS (8W945PA),62.890.000₫,RAM 32 GB,SSD 1 TB,5,5
MacBook Pro 16 inch M4 Pro 24GB/512GB,64.490.000₫,RAM 24 GB,SSD 512 GB,5,56
GIGABYTE G6 KF RC56 i7 13620H (9RC56KF0HJJANIVN000),29.590.000₫,RAM 16 GB,SSD 1 TB,N/A,2
Asus Zenbook DUO UX8406CA Ultra 9 285H (PZ109WS),57.990.000₫,RAM 32 GB,SSD 1 TB,N/A,1
Dell Inspiron 15 3530 i7 1355U (N5I7305W1),22.490.000₫,RAM 16 GB,SSD 512 GB,N/A,N/A
Asus Vivobook S 16 S5606CA Ultra 5 225H (RI114WS),26.990.000₫,RAM 16 GB,SSD 512 GB,N/A,1
Asus Vivobook S 16 S5606CA Ultra 7 255H (RI115WS),32.990.000₫,RAM 32 GB,SSD 1 TB,N/A,N/A
Asus Vivobook 14 A1405VA i3 1315U (LY097W),12.990.000₫,RAM 8 GB,SSD 512 GB,4.9,458
HP Elitebook 630 G10 i5 1335U (9J0B5PT),23.290.000₫,RAM 16 GB,SSD 512 GB,5,42
HP Elitebook 630 G10 i7 1355U (9J0B7PT),27.790.000₫,RAM 16 GB,SSD 512 GB,5,28
HP Elitebook X360 830 G11 Ultra 7 165U (A7RC0PT),45.290.000₫,RAM 16 GB,SSD 512 GB,N/A,1
HP Envy X360 14 fa0097AU R5 8640HS (AY8U7PA),26.690.000₫,RAM 16 GB,SSD 512 GB,N/A,2
MacBook Pro 16 inch M4 Max 36GB/1TB,87.990.000₫,RAM 36 GB,SSD 1 TB,5,13
Lenovo Yoga Pro 7 14ASP9 R9 AI 365 (83HN0022VN),40.690.000₫,RAM 32 GB,SSD 1 TB,N/A,N/A
Dell Latitude 5350 Ultra 7 165U (L5350-165U-16512W),29.990.000₫,RAM 16 GB,SSD 512 GB,N/A,1
Dell XPS 13 9350 Ultra 7 256V (XPSU7016W1),56.990.000₫,RAM 16 GB,SSD 512 GB,N/A,1
Lenovo IdeaPad Slim 5 OLED 15ARP10 R7 7735HS (83J3001DVN),21.190.000₫,RAM 16 GB,SSD 512 GB,N/A,N/A
MSI Modern 15 B12MO i7 1255U (487VN),15.690.000₫,RAM 16 GB,SSD 512 GB,4.9,1k
Dell Inspiron 15 3530 i7 1355U (N5I7240W1),21.490.000₫,RAM 16 GB,SSD 512 GB,N/A,N/A
HP Elitebook X360 830 G11 Ultra 5 135U (A7RB9PT),40.790.000₫,RAM 16 GB,SSD 512 GB,N/A,1
HP OMEN Transcend 14 fb0135TX Ultra 7 155H (AY8V1PA),58.990.000₫,RAM 16 GB,SSD 1 TB,N/A,N/A
Lenovo IdeaPad 5 2in1 14Q8X9 X1P 42 100 (83GH001FVN),23.990.000₫,RAM 16 GB,SSD 512 GB,N/A,1
Lenovo IdeaPad Flex 5 14ABR8 R7 7730U (82XX00DLVN),18.990.000₫,RAM 16 GB,SSD 512 GB,N/A,1
Lenovo ThinkPad X1 Carbon Ultra 7 165U (21KC00AGVN),65.390.000₫,RAM 64 GB,SSD 1 TB,N/A,N/A
Lenovo IdeaPad Slim 5 14IMH9 Ultra 5 125H (83DA006TVN),23.690.000₫,RAM 16 GB,SSD 1 TB,N/A,N/A
Lenovo Yoga Pro 7 14IMH9 Ultra 7 155H (83E2006MVN),46.990.000₫,RAM 32 GB,SSD 1 TB,N/A,1
Lenovo Yoga Slim 7 15ILL9 Ultra 7 258V (83HM000GVN),42.690.000₫,RAM 32 GB,SSD 1 TB,N/A,N/A
LG Gram 14Z90S Ultra 5 125H (14Z90S-G.AH55A5),28.790.000₫,RAM 16 GB,SSD 512 GB,N/A,N/A
LG Gram 14Z90S Ultra 7 155H (14Z90S-G.AH75A5),31.190.000₫,RAM 16 GB,SSD 512 GB,N/A,N/A
LG Gram 16Z90S Ultra 7 155H (16Z90S-G.AH76A5),39.690.000₫,RAM 16 GB,SSD 512 GB,N/A,N/A
LG Gram 17Z90S Ultra 7 155H (17Z90S-G.AH78A5),43.190.000₫,RAM 16 GB,SSD 1 TB,N/A,N/A
HP Elitebook 635 Aero G11 R7 8840HS (A8WS7PT),26.990.000₫,RAM 16 GB,SSD 512 GB,N/A,1
Lenovo IdeaPad Slim 3 15IRH10 i7 13620H (83K1000JVN),18.990.000₫,RAM 16 GB,SSD 512 GB,N/A,N/A
Lenovo LOQ 15IAX9 i5 12450HX (83GS001QVN),24.690.000₫,RAM 12 GB,SSD 512 GB,N/A,N/A
Lenovo Legion Slim 5 16AHP9 R7 8845HS (83DH003AVN),37.690.000₫,RAM 16 GB,SSD 512 GB,N/A,N/A
Lenovo ThinkPad T14s Ultra 5 125U (21LS005RVN),35.390.000₫,RAM 16 GB,SSD 512 GB,N/A,N/A
GIGABYTE AORUS 16X X6LAG i7 14650HX (9RX6LASGDDJIXDVN010),43.090.000₫,RAM 16 GB,SSD 1 TB,N/A,N/A
Dell Inspiron 15 3530 i5 1334U (N5I5530W1),18.490.000₫,RAM 16 GB,SSD 512 GB,N/A,1
Asus Vivobook 14 A1407CA Ultra 5 225H (LY008WS),20.990.000₫,RAM 16 GB,SSD 512 GB,N/A,N/A
Asus Vivobook S 16 M5606KA R7 AI 350 (RI016WS),29.490.000₫,RAM 24 GB,SSD 512 GB,N/A,N/A
Lenovo IdeaPad Slim 5 OLED 14IRH10 i5 13420H (83HR0001VN),22.690.000₫,RAM 32 GB,SSD 1 TB,N/A,N/A
Lenovo IdeaPad Slim 3 14IRH10 i5 13420H (83K0000AVN),16.990.000₫,RAM 24 GB,SSD 512 GB,N/A,N/A
HP Elitebook X360 1040 G11 Ultra 7 165H (AM9H3PT),61.990.000₫,RAM 32 GB,SSD 1 TB,N/A,N/A
HP OmniBook Ultra Flip 14 fh0040TU Ultra 7 258V (B13VHPA),53.990.000₫,RAM 32 GB,SSD 1 TB,N/A,N/A
HP OmniBook Ultra Flip 14 fh0038TU Ultra 9 288V (B2CP4PA),57.990.000₫,RAM 32 GB,SSD 1 TB,N/A,N/A
HP OmniBook X 14 fe1010QU X1P 42 100 (B53KBPA),31.990.000₫,RAM 16 GB,SSD 512 GB,N/A,N/A
Acer Predator Helios 18 AI PH18 73 98AQ Ultra 9 275HX (NH.QVWSV.001),149.990.000₫,RAM 192 GB,SSD 6 TB,N/A,N/A
Acer Predator Helios 18 AI PH18 73 93P0 Ultra 9 275HX (NH.QVYSV.001),99.990.000₫,RAM 64 GB,N/A,N/A,N/A
Acer Predator Helios Neo 16S AI PHN16S 71 95MS Ultra 9 275HX (NH.QX7SV.002),69.990.000₫,RAM 64 GB,SSD 2 TB,N/A,N/A
Acer Predator Helios Neo 16S AI PHN16S 71 94T0 Ultra 9 275HX (NH.QX7SV.001),64.490.000₫,RAM 32 GB,SSD 2 TB,N/A,N/A
Asus Zenbook S16 UM5606KA R7 AI 350 (RK113WS),40.990.000₫,RAM 24 GB,SSD 1 TB,N/A,N/A
Asus ROG Strix G16 G614JU i7 13650HX (N3206W),33.390.000₫,RAM 16 GB,SSD 1 TB,N/A,N/A
Asus ROG Strix G16 G614JU i7 13650HX (N4450W),36.290.000₫,RAM 16 GB,SSD 1 TB,N/A,N/A
Asus ROG Strix SCAR 16 G635LW Ultra 9 275HX (RW175W),117.990.000₫,RAM 64 GB,SSD 4 TB,N/A,N/A
Asus ROG Strix SCAR 16 G635LX Ultra 9 275HX (RW179W),141.990.000₫,RAM 64 GB,SSD 4 TB,N/A,N/A
Asus ROG Strix SCAR 18 G835LW Ultra 9 275HX (SA172W),121.990.000₫,RAM 64 GB,SSD 4 TB,N/A,N/A
Asus ROG Strix SCAR 18 G835LX Ultra 9 275HX (SA193W),145.990.000₫,RAM 64 GB,SSD 4 TB,N/A,N/A
Asus ROG Zephyrus G16 GU605CX Ultra 9 285H (QR083W),131.990.000₫,RAM 64 GB,SSD 2 TB,N/A,N/A
MacBook Air 13 inch M4 24GB/512GB,36.990.000₫,RAM 24 GB,SSD 512 GB,5,4
MacBook Air 13 inch M4 32GB/256GB,36.990.000₫,RAM 32 GB,SSD 256 GB,N/A,N/A
MacBook Air 15 inch M4 24GB/256GB,36.990.000₫,RAM 24 GB,SSD 256 GB,N/A,N/A
MacBook Air 15 inch M4 32GB/256GB,41.990.000₫,RAM 32 GB,SSD 256 GB,N/A,N/A
Acer Aspire Lite 15 AL15 71P 517D i5 12450H (NX.J7KSV.001),14.490.000₫,RAM 16 GB,SSD 512 GB,N/A,N/A
